110001+00000000 21.104+08703430 22.104+09236440 31..00+00132013 32..10+00131875 33..10-00007065 87..10+00002620 88..10+00001570
110002+00000001 21.104+22321200 22.104+08636360 31..00+00076406 32..10+00076273 33..10+00004188 87..10+00001900 88..10+00001570
110003+00000002 21.104+20716140 22.104+08614450 31..00+00038161 32..10+00038079 33..10+00002609 87..10+00001460 88..10+00001570
110004+00000003 21.104+18132180 22.104+08740180 31..00+00023575 32..10+00023556 33..10+00001068 87..10+00001460 88..10+00001570
110005+00000004 21.104+12712580 22.104+09254270 31..00+00020938 32..10+00020911 33..10-00000952 87..10+00001460 88..10+00001570
110006+00000005 21.104+09313510 22.104+09443250 31..00+00033574 32..10+00033460 33..10-00003195 87..10+00002000 88..10+00001570
110007+00000000 21.104+30526460 22.104+09111150 31..00+00037678 32..10+00037670 33..10-00000591 87..10+00001460 88..10+00001650
110008+00000001 21.104+05629160 22.104+08415450 31..00+00089816 32..10+00089366 33..10+00009170 87..10+00001460 88..10+00001650
110009+00000002 21.104+05434320 22.104+08716330 31..00+00050586 32..10+00050529 33..10+00002594 87..10+00001460 88..10+00001650
110010+00000003 21.104+06400300 22.104+08705550 31..00+00049879 32..10+00049815 33..10+00002715 87..10+00001460 88..10+00001650
110011+00000004 21.104+05234420 22.104+08615480 31..00+00055667 32..10+00055549 33..10+00003818 87..10+00001460 88..10+00001650
110012+00000005 21.104+05637180 22.104+08613550 31..00+00060435 32..10+00060305 33..10+00004162 87..10+00001460 88..10+00001650
110013+00000006 21.104+05848370 22.104+08719400 31..00+00055220 32..10+00055160 33..10+00002765 87..10+00001460 88..10+00001650
110014+00000007 21.104+05801010 22.104+08539330 31..00+00069780 32..10+00069580 33..10+00005472 87..10+00001460 88..10+00001650
110015+00000008 21.104+05633370 22.104+08457420 31..00+00080118 32..10+00079809 33..10+00007226 87..10+00001460 88..10+00001650
110016+00000009 21.104+05629140 22.104+08415320 31..00+00089818 32..10+00089368 33..10+00009175 87..10+00001460 88..10+00001650
110017+00000010 21.104+23629070 22.104+27544260 31..00+00089819 32..10+00089369 33..10+00009175 87..10+00001460 88..10+00001650
110018+00000011 21.104+18432110 22.104+09555250 31..00+00089839 32..10+00089360 33..10-00009171 87..10+00001460 88..10+00001560
110019+00000012 21.104+00432240 22.104+26404400 31..00+00089842 32..10+00089363 33..10-00009169 87..10+00001460 88..10+00001560
110020+00000013 21.104+30439080 22.104+08850030 31..00+00008175 32..10+00008173 33..10+00000266 87..10+00001460 88..10+00001560
110021+00000014 21.104+23629150 22.104+09555310 31..00+00089838 32..10+00089359 33..10-00009174 87..10+00001460 88..10+00001560
110022+00000015 21.104+05629240 22.104+26404330 31..00+00089837 32..10+00089358 33..10-00009172 87..10+00001460 88..10+00001560
110023+00000016 21.104+34323340 22.104+09001040 31..00+00122344 32..10+00122344 33..10+00000063 87..10+00001460 88..10+00001560
110024+00000017 21.104+34309480 22.104+09007110 31..00+00105974 32..10+00105974 33..10-00000121 87..10+00001460 88..10+00001560
110025+00000018 21.104+34854100 22.104+09007200 31..00+00096776 32..10+00096776 33..10-00000106 87..10+00001460 88..10+00001560
110026+00000019 21.104+35319580 22.104+09036120 31..00+00066704 32..10+00066701 33..10-00000602 87..10+00001460 88..10+00001560
110027+00000020 21.104+23629150 22.104+09555020 31..00+00089840 32..10+00089362 33..10-00009171 87..10+00001460 88..10+00001550
110028+00000021 21.104+05629270 22.104+26405060 31..00+00089843 32..10+00089365 33..10-00009168 87..10+00001460 88..10+00001550
110029+00000022 21.104+30439070 22.104+09759580 31..00+00008243 32..10+00008163 33..10-00001057 87..10+00001460 88..10+00001550
110030+00000023 21.104+21005220 22.104+09658090 31..00+00034604 32..10+00034348 33..10-00004109 87..10+00001460 88..10+00001550
110031+00000024 21.104+33506540 22.104+09127340 31..00+00026365 32..10+00026357 33..10-00000582 87..10+00001460 88..10+00001550
110032+00000025 21.104+34021120 22.104+09116110 31..00+00046064 32..10+00046053 33..10-00000931 87..10+00001460 88..10+00001550
110033+00000026 21.104+34423390 22.104+09108300 31..00+00050711 32..10+00050701 33..10-00000920 87..10+00001460 88..10+00001550
110034+00000027 21.104+33825130 22.104+09143050 31..00+00055563 32..10+00055538 33..10-00001576 87..10+00001460 88..10+00001550
110035+00000028 21.104+33615380 22.104+09141230 31..00+00058389 32..10+00058364 33..10-00001631 87..10+00001460 88..10+00001550
110036+00000029 21.104+34139170 22.104+09124440 31..00+00057785 32..10+00057768 33..10-00001334 87..10+00001460 88..10+00001550
110037+00000029 21.104+34139540 22.104+09112290 31..00+00057783 32..10+00057770 33..10-00001128 87..10+00001460 88..10+00001550
110038+00000030 21.104+35136510 22.104+09031270 31..00+00057574 32..10+00057572 33..10-00000437 87..10+00001460 88..10+00001550
110039+00000031 21.104+01644020 22.104+08831330 31..00+00073872 32..10+00073848 33..10+00000831 87..10+00002620 88..10+00001550
110040+00000032 21.104+34922480 22.104+09047050 31..00+00063091 32..10+00063085 33..10-00000774 87..10+00001460 88..10+00001550
110041+00000033 21.104+34440140 22.104+09100030 31..00+00068967 32..10+00068957 33..10-00001114 87..10+00001460 88..10+00001550
110042+00000034 21.104+34639580 22.104+09042170 31..00+00072743 32..10+00072738 33..10-00000804 87..10+00001460 88..10+00001550
110043+00000035 21.104+34836580 22.104+09034040 31..00+00073039 32..10+00073036 33..10-00000633 87..10+00001460 88..10+00001550
110044+00000036 21.104+34245080 22.104+09023330 31..00+00085970 32..10+00085968 33..10-00000499 87..10+00001460 88..10+00001550
110045+00000037 21.104+34816070 22.104+09031240 31..00+00080257 32..10+00080254 33..10-00000643 87..10+00001460 88..10+00001550
110046+00000038 21.104+34646170 22.104+09028000 31..00+00082144 32..10+00082142 33..10-00000579 87..10+00001460 88..10+00001550
110047+00000039 21.104+34545460 22.104+09033070 31..00+00082223 32..10+00082220 33..10-00000702 87..10+00001460 88..10+00001550
110048+00000040 21.104+34539210 22.104+09005160 31..00+00095678 32..10+00095678 33..10-00000056 87..10+00001460 88..10+00001550
110049+00000041 21.104+34632270 22.104+09002320 31..00+00095740 32..10+00095740 33..10+00000020 87..10+00001460 88..10+00001550
110050+00000042 21.104+34742190 22.104+08959490 31..00+00097896 32..10+00097896 33..10+00000096 87..10+00001460 88..10+00001550
110051+00000043 21.104+34727520 22.104+08957350 31..00+00107739 32..10+00107739 33..10+00000166 87..10+00001460 88..10+00001550
110052+00000044 21.104+34607160 22.104+08959470 31..00+00107701 32..10+00107701 33..10+00000097 87..10+00001460 88..10+00001550
110053+00000000 21.104+00000000 22.104+08947210 31..00+00147828 32..10+00147827 33..10+00000735 87..10+00001460 88..10+00001650
110054+00000001 21.104+18000100 22.104+27012370 31..00+00147819 32..10+00147818 33..10+00000734 87..10+00001460 88..10+00001650
110055+00000002 21.104+13907300 22.104+08950180 31..00+00067886 32..10+00067886 33..10+00000382 87..10+00001460 88..10+00001650
110056+00000003 21.104+31907320 22.104+27009470 31..00+00067886 32..10+00067886 33..10+00000383 87..10+00001460 88..10+00001650
110057+00000004 21.104+27334550 22.104+09039590 31..00+00018213 32..10+00018212 33..10-00000022 87..10+00001460 88..10+00001650
110058+00000005 21.104+25523530 22.104+09258250 31..00+00004756 32..10+00004750 33..10-00000057 87..10+00001460 88..10+00001650
110059+00000006 21.104+10020210 22.104+09341560 31..00+00003627 32..10+00003619 33..10-00000044 87..10+00001460 88..10+00001650
110060+00000007 21.104+09505140 22.104+08940380 31..00+00023101 32..10+00023101 33..10+00000320 87..10+00001460 88..10+00001650
110061+00000008 21.104+09817230 22.104+08938530 31..00+00035787 32..10+00035786 33..10+00000410 87..10+00001460 88..10+00001650
110062+00000009 21.104+10156550 22.104+08944340 31..00+00047085 32..10+00047085 33..10+00000402 87..10+00001460 88..10+00001650
110063+00000010 21.104+10208420 22.104+08942070 31..00+00049062 32..10+00049062 33..10+00000445 87..10+00001460 88..10+00001650
110064+00000011 21.104+09909210 22.104+08936370 31..00+00047551 32..10+00047550 33..10+00000514 87..10+00001460 88..10+00001650
110065+00000012 21.104+08402520 22.104+08941500 31..00+00052523 32..10+00052522 33..10+00000468 87..10+00001460 88..10+00001650
110066+00000013 21.104+08357270 22.104+08939580 31..00+00050869 32..10+00050868 33..10+00000487 87..10+00001460 88..10+00001650
110067+00000014 21.104+08348430 22.104+08922440 31..00+00048806 32..10+00048803 33..10+00000719 87..10+00001460 88..10+00001650
110068+00000015 21.104+08410150 22.104+08936180 31..00+00049070 32..10+00049069 33..10+00000529 87..10+00001460 88..10+00001650
110069+00000016 21.104+07549460 22.104+08925500 31..00+00036777 32..10+00036775 33..10+00000556 87..10+00001460 88..10+00001650
110070+00000017 21.104+07644580 22.104+08913320 31..00+00035344 32..10+00035341 33..10+00000668 87..10+00001460 88..10+00001650
110071+00000018 21.104+07351390 22.104+08908400 31..00+00034313 32..10+00034309 33..10+00000702 87..10+00001460 88..10+00001650
110072+00000019 21.104+06753470 22.104+08920080 31..00+00037274 32..10+00037272 33..10+00000622 87..10+00001460 88..10+00001650
110073+00000020 21.104+06105200 22.104+08928150 31..00+00043660 32..10+00043658 33..10+00000593 87..10+00001460 88..10+00001650
110074+00000021 21.104+05055380 22.104+08915030 31..00+00054108 32..10+00054104 33..10+00000898 87..10+00001460 88..10+00001650
110075+00000022 21.104+04300410 22.104+08927100 31..00+00068248 32..10+00068245 33..10+00000842 87..10+00001460 88..10+00001650
110076+00000023 21.104+04151090 22.104+08935140 31..00+00068910 32..10+00068908 33..10+00000687 87..10+00001460 88..10+00001650
110077+00000024 21.104+02956480 22.104+08944440 31..00+00062326 32..10+00062326 33..10+00000467 87..10+00001460 88..10+00001650
110078+00000025 21.104+03706490 22.104+08926320 31..00+00058736 32..10+00058733 33..10+00000762 87..10+00001460 88..10+00001650
